Date : 2025-02-04 16:50:58
Directory : /home/ehosta/Documents/push_swap
Total : 80 files,  2075 codes, 959 comments, 432 blanks, all 3466 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/push_swap/libft/include/ft_to.h                   | C++      |         11 |         11 |          5 |         27 |
| /home/ehosta/Documents/push_swap/libft/include/get_next_line.h           | C++      |         12 |         19 |          5 |         36 |
| /home/ehosta/Documents/push_swap/libft/include/libft.h                   | C        |         20 |         11 |          5 |         36 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putchar_fd.c            | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putendl_fd.c            | C        |         13 |         11 |          4 |         28 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putnbr_base_fd.c        | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putnbr_fd.c             | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putptr_fd.c             | C        |         17 |         11 |          4 |         32 |
| /home/ehosta/Documents/push_swap/libft/src/fd/ft_putstr_fd.c             | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/get_next_line/get_next_line.c | C        |         87 |         11 |         11 |        109 |
| /home/ehosta/Documents/push_swap/libft/src/is/ft_isalnum.c               | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/is/ft_isalpha.c               | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/is/ft_isascii.c               | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/is/ft_isdigit.c               | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/is/ft_isprint.c               | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstadd_back.c          | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstadd_front.c         | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstclear.c             | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstdelone.c            | C        |          9 |         11 |          3 |         23 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstiter.c              | C        |         11 |         11 |          3 |         25 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstlast.c              | C        |          9 |         11 |          3 |         23 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstmap.c               | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstnew.c               | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/push_swap/libft/src/lst/ft_lstsize.c              | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/push_swap/libft/src/math/ft_abs.c                 | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/math/ft_sign.c                | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_bzero.c                | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_calloc.c               | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_memchr.c               | C        |         13 |         11 |          4 |         28 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_memcmp.c               | C        |         15 |         11 |          4 |         30 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_memcpy.c               | C        |         18 |         11 |          4 |         33 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_memmove.c              | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/push_swap/libft/src/mem/ft_memset.c               | C        |         12 |         11 |          4 |         27 |
| /home/ehosta/Documents/push_swap/libft/src/printf/ft_printf.c            | C        |         90 |         11 |         12 |        113 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_split.c                | C        |         70 |         11 |          9 |         90 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strchr.c               | C        |         15 |         11 |          4 |         30 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strdup.c               | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_striteri.c             | C        |         13 |         11 |          4 |         28 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strjoin.c              | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strlcat.c              | C        |         21 |         11 |          4 |         36 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strlcpy.c              | C        |         20 |         11 |          4 |         35 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strlen.c               | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strmapi.c              | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strncmp.c              | C        |         23 |         11 |          3 |         37 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strnstr.c              | C        |         26 |         11 |          4 |         41 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strrchr.c              | C        |         12 |         11 |          4 |         27 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_strtrim.c              | C        |         35 |         11 |          7 |         53 |
| /home/ehosta/Documents/push_swap/libft/src/str/ft_substr.c               | C        |         34 |         11 |          7 |         52 |
| /home/ehosta/Documents/push_swap/libft/src/to/ft_atoi.c                  | C        |         26 |         11 |          4 |         41 |
| /home/ehosta/Documents/push_swap/libft/src/to/ft_itoa.c                  | C        |         63 |         11 |          9 |         83 |
| /home/ehosta/Documents/push_swap/libft/src/to/ft_tolower.c               | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/push_swap/libft/src/to/ft_toupper.c               | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/push_swap/libft/variables.mk                      | Makefile |        100 |         11 |          4 |        115 |
| /home/ehosta/Documents/push_swap/src/env/env_manager.c                   | C        |         53 |         11 |          9 |         73 |
| /home/ehosta/Documents/push_swap/src/env/stack_getter.c                  | C        |         50 |         11 |          7 |         68 |
| /home/ehosta/Documents/push_swap/src/env/stack_manager.c                 | C        |         61 |         11 |          9 |         81 |
| /home/ehosta/Documents/push_swap/src/init.c                              | C        |        126 |         11 |         13 |        150 |
| /home/ehosta/Documents/push_swap/src/main.c                              | C        |         70 |         13 |         10 |         93 |
| /home/ehosta/Documents/push_swap/src/moves/push.c                        | C        |         40 |         11 |          9 |         60 |
| /home/ehosta/Documents/push_swap/src/moves/reverse_rotate.c              | C        |         19 |         11 |          3 |         33 |
| /home/ehosta/Documents/push_swap/src/moves/rotate.c                      | C        |         19 |         11 |          3 |         33 |
| /home/ehosta/Documents/push_swap/src/moves/swap.c                        | C        |         23 |         11 |          5 |         39 |
| /home/ehosta/Documents/push_swap/src/sorting/bucket_manager.c            | C        |         50 |         11 |          8 |         69 |
| /home/ehosta/Documents/push_swap/src/sorting/bucket_sort.c               | C        |         41 |         11 |          7 |         59 |
| /home/ehosta/Documents/push_swap/src/sorting/bucket_sort_utils.c         | C        |         18 |         11 |          4 |         33 |
| /home/ehosta/Documents/push_swap/src/sorting/is_sorted.c                 | C        |         23 |         11 |          4 |         38 |
| /home/ehosta/Documents/push_swap/src/sorting/selection_sort.c            | C        |         25 |         11 |          4 |         40 |
| /home/ehosta/Documents/push_swap/src/sorting/sort_n_elements.c           | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/push_swap/src/wall/check_argv.c                   | C        |         92 |         11 |         11 |        114 |
| Total                                                                    |          |      2,075 |        959 |        432 |      3,466 |
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
